,Particle ID,Particle Group,Time Point Index,Cumulative Time Step,Tracking Time,Global X,Global Y,Global Z,Layer,Row,Column,Grid,Local X,Local Y,Local Z,Line Segment Index,dep,nnlsd,numresiss,x_5070,y_5070,GlobalZ_m,LSD
0,2,1,-1,248,90.0000000000582,1063335.28026675,820880.365605088,47.8771430770156,2,259,202,1,0.3892576,0.4697662,0.3110668,1,23.752772803309238,1,42445,502493.59342530544,1188715.9354364309,14.592953209874356,38.345726013183594
1,3,1,0,248,1.0,1065740.14536,819341.5062624,37.1944584482635,2,259,202,1,0.8447245,0.1783156,0.06418438,1,26.80573770754741,1,42445,503226.596305728,1188246.8911087795,11.336870935030714,38.142608642578125
2,3,1,-1,248,90.0000000000582,1065698.68598194,819349.561128026,37.81572220029,2,259,202,1,0.8368723,0.1798411,0.07854211,1,26.61637651592973,1,42445,503213.95948729536,1188249.3462318224,11.526232126648393,38.142608642578125
3,4,1,0,248,1.0,1064426.32188288,820479.20205504,53.6440602391752,2,259,202,1,0.5958943,0.3937883,0.4443433,1,19.938845035046665,1,42445,502826.1429099018,1188593.6607863763,16.3507095609006,36.289554595947266
4,4,1,-1,248,90.0000000000582,1064403.98030322,820486.73712972,53.863831426276,2,259,202,1,0.5916629,0.3952154,0.4494223,1,19.87185877721834,1,42445,502819.33319642144,1188595.9574771386,16.417695818728927,36.289554595947266
5,5,1,0,248,1.0,1062963.1443024,820103.34533424,51.0550257823776,2,259,202,1,0.3187773,0.3226033,0.3845094,1,19.021184184011773,1,42445,502380.1663833716,1188479.0996578764,15.561571858468694,34.58275604248047
6,5,1,-1,248,90.0000000000582,1062962.09381282,820111.052130501,51.3379886563018,2,259,202,1,0.3185784,0.3240629,0.3910488,1,18.934937100039676,1,42445,502379.84619414754,1188481.4486893767,15.647818942440791,34.58275604248047
7,6,1,0,248,1.0,1063987.79252832,818589.9542832,43.2417626207372,2,259,202,1,0.5128395,0.03597619,0.2039408,1,24.529906022974693,1,42445,502692.47916263196,1188017.8180655194,13.180089246800696,37.70999526977539
8,6,1,-1,248,90.0000000000582,1063971.83210712,818598.35251822,43.7154271971755,2,259,202,1,0.5098167,0.03756676,0.2148874,1,24.3855330600763,1,42445,502687.61442625016,1188020.3778475535,13.324462209699092,37.70999526977539
9,7,1,0,248,1.0,1063593.83483232,821096.82760512,51.1395683454575,2,259,202,1,0.4382263,0.5107628,0.3864632,1,21.722500724310414,1,42445,502572.4008568911,1188781.9130540406,15.587340431695445,37.30984115600586
10,7,1,-1,248,90.0000000000582,1063583.6069954,821104.080498771,51.4204677523794,2,259,202,1,0.4362892,0.5121365,0.3929549,1,21.63688258508062,1,42445,502569.28341219795,1188784.1237360253,15.67295857092524,37.30984115600586
11,8,1,0,248,1.0,1065585.80194704,822972.01938864,57.4118445619196,2,259,202,1,0.8154928,0.8659128,0.5314188,1,19.977783229675342,1,42445,503179.5524334578,1189353.4715096573,17.499130222473095,37.47691345214844
12,8,1,-1,248,90.0000000000582,1065546.58846145,822978.415543857,57.5396538030077,2,259,202,1,0.808066,0.8671242,0.5343725,1,19.938826972991688,1,42445,503167.60016304994,1189355.4210577677,17.53808647915675,37.47691345214844
13,9,1,0,248,1.0,1064278.98328224,822137.76386016,52.9544655136661,2,259,202,1,0.5679893,0.7079098,0.4284064,1,21.822567900692384,1,42445,502781.2341044268,1189099.1904245769,16.14052108856543,37.96308898925781
14,9,1,-1,248,90.0000000000582,1064258.78566614,822144.541170404,53.1910679383022,2,259,202,1,0.564164,0.7091934,0.4338744,1,21.7504514816633,1,42445,502775.0778710395,1189101.256148739,16.21263750759451,37.96308898925781
15,10,1,0,248,1.0,1065843.79943712,822275.78849856,67.980456534301,2,259,202,1,0.864356,0.7340509,0.775665,1,15.189457513628259,1,42445,503258.1900684342,1189141.260334361,20.720443151654944,35.9099006652832
16,10,1,-1,248,90.0000000000582,1065800.83176073,822282.502748048,67.8503130794862,2,259,202,1,0.8562181,0.7353225,0.7726573,1,15.229125238655811,1,42445,503245.0935206705,1189143.306837605,20.68077542662739,35.9099006652832
17,11,1,0,248,1.0,1063836.60156576,823526.64251616,35.8551694758505,2,259,202,1,0.4842048,0.970955,0.03323271,1,26.71996876392678,1,42445,502646.3961572437,1189522.5206389255,10.928655656239235,37.648624420166016
18,11,1,-1,248,90.0000000000582,1063822.84116487,823532.785274923,36.5091218346619,2,259,202,1,0.4815987,0.9721184,0.04834589,1,26.52064408496107,1,42445,502642.20198705234,1189524.3929517965,11.127980335204947,37.648624420166016
19,12,1,0,248,1.0,1064963.63494224,818980.37669184,54.7665087440868,2,259,202,1,0.6976581,0.1099198,0.4702837,1,21.753071912878514,1,42445,502989.9159303948,1188136.8188156728,16.692831865197657,38.44590377807617
20,12,1,-1,248,90.0000000000582,1064933.47477589,818988.596550501,54.9588838437345,2,259,202,1,0.691946,0.1114766,0.4747296,1,21.694435982505897,1,42445,502980.72311169124,1188139.3242285927,16.751467795570274,38.44590377807617
21,13,1,0,248,1.0,1062123.43290768,821144.15486928,68.4564076041799,2,259,202,1,0.1597411,0.5197263,0.7866644,1,17.72972469417956,1,42445,502124.2223502609,1188796.3384041565,20.865513037754035,38.595237731933594
22,13,1,-1,248,90.0000000000582,1062134.60128422,821151.38614003,68.3146474051877,2,259,202,1,0.1618563,0.5210959,0.7833883,1,17.77293320283238,1,42445,502127.62647143035,1188798.5424954812,20.822304529101213,38.595237731933594
23,14,1,0,248,1.0,1061585.82619584,823633.3003008,56.0311489573063,2,259,202,1,0.05792163,0.9911554,0.4995102,1,21.75689180245171,1,42445,501960.3598244921,1189555.0299316838,17.07829420218696,38.83518600463867
24,14,1,-1,248,90.0000000000582,1061604.81743208,823639.394329708,56.192657434809,2,259,202,1,0.06151845,0.9923095,0.5032427,1,21.70766401850889,1,42445,501966.14835329796,1189556.8873916948,17.127521986129782,38.83518600463867
25,15,1,0,248,1.0,1061405.82812352,820945.87670304,50.3829406981964,2,259,202,1,0.02383108,0.4821736,0.3689771,1,21.871142986957313,1,42445,501905.4964120489,1188735.9032190866,15.356720324810265,37.22786331176758
26,15,1,-1,248,90.0000000000582,1061427.43856007,820953.198563205,50.6823074442463,2,259,202,1,0.02792397,0.4835603,0.3758957,1,22.0279657659449,1,42445,501912.08327310934,1188738.1349220648,15.447967309006271,37.47593307495117
27,16,1,0,248,1.0,1063292.42252112,820291.2187536,48.9257394315115,2,259,202,1,0.3811406,0.3581854,0.3353004,1,19.528734059751855,1,42445,502480.53038443736,1188536.3634760974,14.912565378724707,34.44129943847656
28,16,1,-1,248,90.0000000000582,1063286.58061572,820298.839714172,49.2606727208498,2,259,202,1,0.3800342,0.3596287,0.3430409,1,19.426646393161548,1,42445,502478.7497716715,1188538.6863448797,15.014653045315017,34.44129943847656
29,17,1,0,248,1.0,1062641.81768448,820179.65279712,35.7876610997288,2,259,202,1,0.25792,0.3370555,0.03167256,1,23.287561460767506,1,42445,502282.22603022953,1188502.3581725622,10.908079103197338,34.195640563964844
30,17,1,-1,248,90.0000000000582,1062645.44290485,820187.324729995,36.4432611647538,2,259,202,1,0.2586066,0.3385085,0.04682382,1,23.087734560947887,1,42445,502283.3309973983,1188504.6965777024,11.107906003016959,34.195640563964844
31,18,1,0,248,1.0,1063411.86839712,822206.20874832,59.0218536523927,2,259,202,1,0.403763,0.7208729,0.5686269,1,20.15421249307883,1,42445,502516.93748744216,1189120.052426488,17.989860993249295,38.144073486328125
