,aq,number_of_samples,mincvptad,q25cvptad,mediancvptad,q75cvptad,maxcvptad,iqrcvptad,ameancvptad,stdevcvptad
0,CLBR,9,0.243894416,0.449514594,0.519685083,0.639754829,0.781393151,0.19024023500000004,0.5325919887777777,0.16039428652708101
1,MRVA,61,0.112879692,0.283918245,0.378738768,0.540090161,0.869495604,0.25617191599999994,0.41774579295081965,0.17876785823559327
2,TRRC,1,0.156965936,-9999.0,0.156965936,-9999.0,0.156965936,-9999.0,0.156965936,-9999.0
