,aq,number_of_samples,mincvptad,q25cvptad,mediancvptad,q75cvptad,maxcvptad,iqrcvptad,ameancvptad,stdevcvptad
0,CLBR,9,0.032743963,0.050804626,0.060925549,0.101478917,0.455547173,0.050674291,0.11589537155555557,0.13408875836316167
1,MRVA,61,0.028021482,0.132783301,0.277475138,0.49935828,3.498413853,0.366574979,0.44295107578688536,0.6443058926377725
2,TRRC,1,0.27786305,-9999.0,0.27786305,-9999.0,0.27786305,-9999.0,0.27786305,-9999.0
