,aq,number_of_samples,mincvptad,q25cvptad,mediancvptad,q75cvptad,maxcvptad,iqrcvptad,ameancvptad,stdevcvptad
0,CLBR,9,14.36335834,23.40697886,31.03268084,66.57791449,77.09174989,43.17093563,41.03441684777778,24.11925750176171
1,MRVA,61,11.30368192,29.09118659,44.20034616,65.472083,616.537705,36.38089641,70.53693456327868,105.5752776345181
2,TRRC,1,40.48345396,-9999.0,40.48345396,-9999.0,40.48345396,-9999.0,40.48345396,-9999.0
