index32251723,indexpt,namept,siteno_x,index,site,mulpmad,vlpmad,cvlpmad,sitenoint,siteno_y,sitenostr,indexwS,namewS,siteno,numagesptbs,xbPTbs,numparts4res,VARPTbs,avgVARres,varVARres,varreseff,MER,cver,acvr,cvcvr,ASLD,tsptsld,cvptad,siteag,AQFR_CD,NAT_AQFR_C,Layer,WELL_DEPTH,OTOP_dep,OBTM_dep,TOP,BOT,ALT_VA,DEC_LAT_VA,DEC_LONG_V,Source,geometry,index32251724
10,10,ptad_330849091035901.csv,330849091035901,8,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF330849091035901.csv,12.15713774,410.6239957,1.666828145,330849091035901.csv,3.30849E+14,3.30849E+14,10,well_summ_parts_330849091035901_21451903.csv,3.30849E+14,100,112782.6463,100,4.76059E+15,1285.338906,6566749.972,855.6279607,43.43414322,0.673459099,0.358525224,0.031537338,44.93725194,72075532287,611.769645,USGS_330849091035901,112MRVA,N100MSRVVL,MRVA,90,85,90,85,90,111.12,33.147066,-91.066495,MAP 2022,POINT (-91.066495 33.147066),10
11,11,ptad_331654090501402.csv,331654090501402,17,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF331654090501402.csv,28.00880057,5.727085855,0.085442183,331654090501402.csv,3.31654E+14,3.31654E+14,11,well_summ_parts_331654090501402_21451903.csv,3.31654E+14,100,65202.04332,100,7.41376E+15,542.779383,1347712.028,365.319416,62.78696623,0.304415582,0.283918245,0.021237036,34.14712421,46428062989,1320.560103,USGS_331654090501402,112MRVA,N100MSRVVL,MRVA,47,37,47,37,47,110,33.281611,-90.8372,MAP 2022,POINT (-90.8372 33.281611),11
12,12,ptad_331721090285901.csv,331721090285901,36,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF331721090285901_1.csv,37.9979711,288.606922,0.447087948,331721090285901_1.csv,3.31721E+14,3.31721E+14,12,well_summ_parts_331721090285901_21451903.csv,3.31721E+14,100,824.4253102,100,11590574845,1572.747026,29606830.36,1132.88337,64.3354691,0.523169153,0.378738768,0.084050138,5.182177451,77260211,130.5873688,USGS_331721090285901,112MRVA,-9999,MRVA,30,-9999,-9999,20,30,95,33.28925,-90.482972,MAP 2022,POINT (-90.482972 33.28925),12
76,12,ptad_331721090285901.csv,331721090285901,81,C:\github\map_gwage\MERASwd\Scripts\redoPDFs12174pguL\pdfs\PDF_331721090285901_57.csv,56.99695603,649.2613958,0.447052088,331721090285901_57.csv,3.31721E+14,3.31721E+14,12,well_summ_parts_331721090285901_21451903.csv,3.31721E+14,100,824.4253102,100,11590574845,1572.747026,29606830.36,1132.88337,64.3354691,0.523169153,0.378738768,0.084050138,5.182177451,77260211,130.5873688,USGS_331721090285901,112MRVA,-9999,MRVA,30,-9999,-9999,20,30,95,33.28925,-90.482972,MAP 2022,POINT (-90.482972 33.28925),76
13,13,ptad_331818091233401.csv,331818091233401,6,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF331818091233401.csv,386.975311,71416.29468,0.69058223,331818091233401.csv,3.31818E+14,3.31818E+14,13,well_summ_parts_331818091233401_21451903.csv,3.31818E+14,100,431.8851799,100,29064460287,23.43633765,252.6254455,32.85212055,19.75512027,0.290136272,0.249299752,0.002000443,2.738249369,141316046.2,394.7415388,AR008_331818091233401,110ALVM,N100MSRVVL,MRVA,97.6,79.3,97.2,79.3,97.2,118,33.305,-91.392778,MAP 2022,POINT (-91.392778 33.305),13
14,14,ptad_332424090120901.csv,332424090120901,49,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF332424090120901.csv,319.9718861,41716.5547,0.638325796,332424090120901.csv,3.32424E+14,3.32424E+14,14,well_summ_parts_332424090120901_21451903.csv,3.32424E+14,100,41547.65116,100,5.10845E+13,25.71966461,111.975717,4.361165383,20.57905623,0.101478917,0.243894416,0.008932747,57.43594918,54961717.99,172.0275543,USGS_332424090120901,124SPRT,S100MSEMBM,MCAQ,170,-9999,-9999,140,170,124,33.406667,-90.2025,MAP 2022,POINT (-90.2025 33.406667),14
15,15,ptad_332424090120902.csv,332424090120902,11,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF332424090120902.csv,602.5684567,41279.22719,0.337178121,332424090120902.csv,3.32424E+14,3.32424E+14,15,well_summ_parts_332424090120902_21451903.csv,3.32424E+14,200,11679.33753,200,7.085E+12,724.7264416,872910.7136,461.8289352,34.73708816,0.618653051,0.724812131,0.016704262,41.8488277,5034656855,227.9038507,USGS_332424090120902,112MRVA,N100MSRVVL,MRVA,80,-9999,-9999,40,80,124,33.406944,-90.2025,MAP 2022,POINT (-90.2025 33.406944),15
16,16,ptad_332514090500902.csv,332514090500902,62,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF332514090500902pguL.csv,34.99519674,38.47053647,0.177237527,332514090500902pguL.csv,3.32514E+14,3.32514E+14,16,well_summ_parts_332514090500902_21451903.csv,3.32514E+14,100,82412.13019,100,7.44091E+15,768.0015509,4380553.145,330.6436525,57.45204565,0.316500644,0.208259127,0.042832189,29.62638901,45967672025,1046.699296,USGS_332514090500902,112MRVA,N100MSRVVL,MRVA,45,35,45,35,45,117,33.420611,-90.835739,MAP 2022,POINT (-90.835739 33.420611),16
17,17,ptad_333224090114002.csv,333224090114002,20,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333224090114002.csv,35.00232834,13.41768381,0.104650629,333224090114002.csv,3.33224E+14,3.33224E+14,17,well_summ_parts_333224090114002_21451903.csv,3.33224E+14,100,22847.58122,100,5.23279E+13,1098.660144,4824464.467,970.5813541,44.25740693,0.703930864,0.623300979,0.007227989,39.53817914,20917146268,316.6111983,USGS_333224090114002,112MRVA,-9999,MRVA,78,31,41,31,41,120,33.539881,-90.19455,MAP 2022,POINT (-90.19455 33.539881),17
18,18,ptad_333315090105301.csv,333315090105301,45,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF333315090105301.csv,3199.828172,2046030.325,0.447022492,333315090105301.csv,3.33315E+14,3.33315E+14,18,well_summ_parts_333315090105301_21451903.csv,3.33315E+14,100,44320.17818,100,1.24137E+13,172.2980536,10105.68483,19.2570253,23.34939824,0.187939864,0.584818097,0.04065298,61.14059822,142749667.5,79.49683965,USGS_333315090105301,112MRVA,N100MSRVVL,MRVA,80,70,80,70,80,125,33.55415,-90.181281,MAP 2022,POINT (-90.181281 33.55415),18
