,aq,number_of_samples,mincvptad,q25cvptad,mediancvptad,q75cvptad,maxcvptad,iqrcvptad,ameancvptad,stdevcvptad
0,CLBR,10,11.35697349,19.096710715,48.999666235,150.2565692,456.6226635,131.159858485,108.20122637400002,137.0195500679843
1,MRVA,62,8.939361232,149.31393745,327.3644674,768.6244595750001,2243.021632,619.310522125,521.0856856443872,513.7924960347204
2,TRRC,1,319.6491267,-9999.0,319.6491267,-9999.0,319.6491267,-9999.0,319.6491267,-9999.0
